"","features","fold"
"278","equivalentSoundLevel_dBp","4"
"279","F0semitoneFrom27.5Hz_sma3nz_amean","5"
"280","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"281","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","5"
"282","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","5"
"283","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"284","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"285","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"286","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","5"
"287","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"288","loudness_sma3_percentile20.0","5"
"289","loudness_sma3_percentile50.0","5"
"290","loudness_sma3_pctlrange0-2","5"
"291","loudness_sma3_stddevRisingSlope","5"
"292","loudness_sma3_stddevFallingSlope","5"
"293","spectralFlux_sma3_amean","5"
"294","mfcc1_sma3_amean","5"
"295","mfcc2_sma3_amean","5"
"296","mfcc2_sma3_stddevNorm","5"
"297","mfcc3_sma3_stddevNorm","5"
"298","mfcc4_sma3_amean","5"
"299","mfcc4_sma3_stddevNorm","5"
"300","jitterLocal_sma3nz_amean","5"
"301","jitterLocal_sma3nz_stddevNorm","5"
"302","shimmerLocaldB_sma3nz_amean","5"
"303","shimmerLocaldB_sma3nz_stddevNorm","5"
"304","HNRdBACF_sma3nz_stddevNorm","5"
"305","logRelF0-H1-H2_sma3nz_stddevNorm","5"
"306","logRelF0-H1-A3_sma3nz_stddevNorm","5"
"307","F1frequency_sma3nz_amean","5"
"308","F1frequency_sma3nz_stddevNorm","5"
"309","F1bandwidth_sma3nz_amean","5"
"310","F1bandwidth_sma3nz_stddevNorm","5"
"311","F1amplitudeLogRelF0_sma3nz_amean","5"
"312","F1amplitudeLogRelF0_sma3nz_stddevNorm","5"
"313","F2frequency_sma3nz_amean","5"
"314","F2frequency_sma3nz_stddevNorm","5"
"315","F2bandwidth_sma3nz_amean","5"
"316","F2bandwidth_sma3nz_stddevNorm","5"
"317","F2amplitudeLogRelF0_sma3nz_amean","5"
"318","F2amplitudeLogRelF0_sma3nz_stddevNorm","5"
"319","F3frequency_sma3nz_amean","5"
"320","F3bandwidth_sma3nz_amean","5"
"321","F3bandwidth_sma3nz_stddevNorm","5"
"322","F3amplitudeLogRelF0_sma3nz_amean","5"
"323","F3amplitudeLogRelF0_sma3nz_stddevNorm","5"
"324","alphaRatioV_sma3nz_amean","5"
"325","alphaRatioV_sma3nz_stddevNorm","5"
"326","hammarbergIndexV_sma3nz_amean","5"
"327","hammarbergIndexV_sma3nz_stddevNorm","5"
"328","slopeV0-500_sma3nz_amean","5"
"329","slopeV0-500_sma3nz_stddevNorm","5"
"330","slopeV500-1500_sma3nz_stddevNorm","5"
"331","spectralFluxV_sma3nz_amean","5"
"332","spectralFluxV_sma3nz_stddevNorm","5"
"333","mfcc1V_sma3nz_amean","5"
"334","mfcc1V_sma3nz_stddevNorm","5"
"335","mfcc2V_sma3nz_amean","5"
"336","mfcc2V_sma3nz_stddevNorm","5"
"337","mfcc3V_sma3nz_stddevNorm","5"
"338","mfcc4V_sma3nz_amean","5"
"339","alphaRatioUV_sma3nz_amean","5"
"340","slopeUV0-500_sma3nz_amean","5"
"341","slopeUV500-1500_sma3nz_amean","5"
"342","spectralFluxUV_sma3nz_amean","5"
"343","loudnessPeaksPerSec","5"
"344","VoicedSegmentsPerSec","5"
"345","MeanVoicedSegmentLengthSec","5"
"346","MeanUnvoicedSegmentLength","5"
"347","StddevUnvoicedSegmentLength","5"
"348","equivalentSoundLevel_dBp","5"
